Customer_ID,Actual,Predicted
4874,0,0
1880,0,0
8050,0,0
2012,0,0
1150,0,0
10970,0,0
9622,0,0
1773,0,0
1395,0,0
9302,0,0
5857,0,0
1391,0,0
2429,0,0
5958,0,0
3679,0,0
8407,0,0
1105,0,0
6748,0,0
7041,0,0
5963,0,0
7426,0,0
11713,0,0
7727,0,0
7559,0,0
1533,0,0
3437,0,0
5999,1,0
11773,0,0
3971,0,0
9891,0,0
4069,0,0
8013,0,0
4657,0,0
8431,0,0
3899,0,0
5380,0,0
1027,0,0
5358,0,0
1186,0,0
9130,0,0
11180,0,0
7935,0,0
6184,0,0
11547,0,0
5790,0,0
3243,0,0
259,0,0
11133,0,0
8555,0,0
2228,0,0
703,0,0
3882,0,0
2006,0,0
3551,0,0
9433,0,0
5901,0,0
9581,0,0
4335,0,0
3621,0,0
10416,0,0
2450,0,0
6207,0,0
3986,0,0
8536,0,0
8332,0,0
4444,0,0
7467,0,0
11184,0,0
4760,0,0
2452,0,0
3215,0,0
6635,0,0
5927,0,0
8173,0,0
3926,0,0
9607,0,0
11203,0,0
11651,0,0
3830,0,0
7659,0,0
8590,0,0
7822,0,0
6426,0,0
7806,0,0
4057,0,0
5341,0,0
7792,0,0
164,0,0
11123,0,0
10550,0,0
4990,0,0
2789,0,0
5897,0,0
4715,0,0
2461,0,0
10975,0,0
4754,0,0
2039,0,0
1002,0,0
2635,0,0
8781,0,0
5122,0,0
11110,0,0
11070,0,0
11358,1,0
2929,0,0
6950,0,0
7906,0,0
1409,0,0
1104,0,0
11023,1,0
4938,0,0
4506,1,0
9041,0,0
8892,0,0
1878,0,0
8201,1,0
10791,0,0
9443,0,0
7775,0,0
9163,0,0
1224,0,0
352,0,0
7655,0,0
8515,1,0
5889,1,0
1549,0,0
10861,0,0
4639,0,0
2628,0,0
11416,1,0
3766,0,0
4821,0,0
3624,0,0
1142,0,0
7454,0,0
7563,0,0
5095,0,0
3697,0,0
11079,0,0
4362,0,0
10896,0,0
4732,0,0
9618,0,0
7296,0,0
8759,0,0
4154,0,0
3658,0,0
165,0,0
2772,0,0
607,0,0
6637,0,0
6559,0,0
5114,0,0
4678,0,0
2662,0,0
2692,0,0
1308,0,0
4309,0,0
1353,0,0
11069,0,0
4169,1,0
10572,0,0
3833,0,0
3761,0,0
994,0,0
4377,1,0
8009,0,0
1090,0,0
3889,0,0
1705,0,0
8027,0,0
5916,0,0
11383,0,0
2187,0,0
8349,0,0
1827,0,0
7684,0,0
1383,0,0
7313,0,0
11638,0,0
5150,0,0
10334,1,0
8752,0,0
9417,0,0
4565,0,0
5486,0,0
366,1,0
1278,0,0
1854,0,0
9772,0,0
1740,0,0
5780,0,0
5450,0,0
728,1,0
3844,1,0
9085,0,0
7427,0,0
8702,1,0
6651,0,0
9633,0,0
4195,0,0
6362,0,0
1987,1,0
4942,0,0
5084,0,0
6761,0,0
2554,1,0
5721,0,0
7951,0,0
59,0,0
3788,0,0
9842,0,0
6665,0,0
6627,0,0
2836,0,0
7233,1,0
2230,0,0
5160,0,0
8257,0,0
2248,1,0
5049,0,0
11404,0,0
11400,0,0
453,0,0
633,1,0
3341,0,0
4149,0,0
3532,0,0
9160,0,0
5022,0,0
6496,1,0
11045,0,0
10149,1,0
8287,0,0
1801,0,0
8853,0,0
5105,0,0
7005,0,0
2655,0,0
8229,0,0
9159,0,0
10090,0,0
4971,0,0
2022,0,0
9872,0,0
6186,0,0
2732,0,0
6897,0,0
1669,0,0
2861,0,0
512,0,0
5547,0,0
7045,0,0
3123,0,0
3634,1,0
3136,0,0
2050,0,0
3197,0,0
1173,0,0
5591,0,0
247,0,0
10658,0,0
58,0,0
10757,0,0
8390,0,0
11769,0,0
4554,1,0
942,0,0
7678,0,0
8070,0,0
11344,1,0
5598,0,0
5472,0,0
2150,0,0
10011,0,0
5437,1,0
7180,0,0
2718,0,0
7412,0,0
3734,0,0
8337,0,0
8406,0,0
7861,0,0
9077,0,0
6440,0,0
3075,0,0
947,0,0
429,0,0
11509,0,0
1489,0,0
10203,0,0
7197,0,0
11370,0,0
2360,0,0
1389,0,0
5912,0,0
9671,0,0
906,0,0
1262,0,0
8951,0,0
5968,0,0
3053,0,0
3649,0,0
6410,0,0
4010,0,0
11028,0,0
1728,0,0
3474,0,0
5392,0,0
6597,0,0
1658,0,0
7122,1,0
11765,0,0
4338,0,0
10971,0,0
417,0,0
7108,0,0
10933,0,0
3025,0,0
1029,0,0
9601,0,0
2715,0,0
86,0,0
8056,0,0
9206,1,0
2289,0,0
175,0,0
10672,1,0
10604,0,0
762,0,0
10376,0,0
98,0,0
128,0,0
9501,0,0
11381,0,0
5558,0,0
3121,0,0
5346,0,0
7275,0,0
7677,0,0
11498,0,0
10139,0,0
1453,0,0
11292,0,0
5440,0,0
11247,1,0
392,0,0
4034,1,0
4955,0,0
2035,0,0
10980,0,0
11742,0,0
7835,0,0
11109,0,0
6128,0,0
10564,0,0
8185,0,0
10856,0,0
9753,0,0
9505,0,0
10984,0,0
3457,1,0
7885,0,0
8359,0,0
7536,0,0
403,0,0
10819,1,0
340,0,0
5681,0,0
42,0,0
7679,0,0
622,0,0
1879,0,0
8609,1,0
11743,0,0
2638,0,0
1874,0,0
2837,0,0
4722,0,0
2215,0,0
2227,0,0
1022,1,0
9099,0,0
5371,0,0
5143,1,0
8870,0,0
7503,0,0
8911,0,0
9908,0,0
5932,0,0
4517,0,0
11304,0,0
1859,0,0
3746,0,0
9529,1,0
2503,0,0
6242,0,0
380,0,0
8583,0,0
6204,1,0
7909,0,0
4138,1,0
7954,0,0
7933,0,0
1789,0,0
7178,0,0
3002,0,0
3496,0,0
9903,0,0
1074,0,0
1701,0,0
1965,0,0
1871,0,0
8212,0,0
3158,0,0
4441,0,0
10448,0,0
11367,0,0
11016,0,0
9048,0,0
2125,0,0
11514,0,0
6844,0,0
11689,0,0
6134,0,0
8413,0,0
3285,0,0
3725,0,0
3088,0,0
2373,0,0
2197,0,0
8884,0,0
4422,0,0
8964,0,0
3571,0,0
2367,0,0
6238,0,0
9391,0,0
3323,0,0
3333,0,0
3677,0,0
1381,0,0
6234,0,0
5991,0,0
11263,0,0
10493,0,0
10820,1,0
4806,0,0
11453,0,0
3597,0,0
781,0,0
5818,1,0
226,0,0
7433,1,0
11359,0,0
4663,0,0
10209,0,0
1081,0,0
10176,0,0
8429,0,0
1455,0,0
7373,0,0
1117,0,0
8233,0,0
439,0,0
10188,0,0
11510,0,0
10217,0,0
5549,0,0
9982,0,0
6735,0,0
2458,0,0
1819,0,0
3334,0,0
8662,0,0
8561,0,0
4836,0,0
743,0,0
6325,1,0
11127,1,0
2102,0,0
672,0,0
4711,0,0
8737,0,0
5732,0,0
854,0,0
9313,0,0
10761,0,0
11414,0,0
7703,0,0
1562,0,0
8002,0,0
7356,0,0
4877,0,0
5666,0,0
10539,0,0
11711,0,0
1674,0,0
14,0,0
11756,0,0
1070,0,0
7575,0,0
11135,1,0
8680,1,0
6556,0,0
1083,1,0
6998,0,0
109,0,0
3478,0,0
146,0,0
5642,0,0
5701,0,0
7543,0,0
10976,0,0
7847,0,0
11593,1,0
2390,0,0
2090,0,0
2721,0,0
7423,0,0
8538,0,0
8122,0,0
2506,1,0
7668,0,0
4903,0,0
4681,1,0
11397,0,0
3317,0,0
1419,0,0
584,0,0
4701,0,0
8694,0,0
7837,1,0
10502,1,0
11669,0,0
9634,0,0
2068,0,0
9345,0,0
3127,0,0
1530,0,0
9396,0,0
3978,0,0
7090,0,0
5793,0,0
455,0,0
9997,0,0
5711,0,0
7637,0,0
1066,0,0
1752,0,0
8292,0,0
1392,0,0
8078,0,0
6353,0,0
9270,0,0
3802,1,0
7086,0,0
11476,0,0
5299,0,0
6577,0,0
5632,0,0
298,1,0
6214,0,0
7293,0,0
2442,0,0
824,1,0
5408,0,0
8482,0,0
6803,0,0
11531,0,0
8430,0,0
951,0,0
646,0,0
7139,0,0
3447,0,0
9817,0,0
8159,0,0
11221,0,0
10527,0,0
2008,0,0
3823,0,0
7315,0,0
8489,0,0
9349,0,0
8100,0,0
3554,0,0
6996,0,0
7365,0,0
10568,0,0
3388,0,0
3067,0,0
3776,1,0
2405,0,0
10536,0,0
6107,0,0
4190,0,0
10022,0,0
7205,1,0
2996,0,0
7829,0,0
10951,0,0
263,1,0
521,0,0
1206,0,0
4208,0,0
4625,1,0
4947,0,0
9284,0,0
216,0,0
5333,0,0
700,0,0
10632,0,0
10341,0,0
8947,0,0
3909,0,0
6224,0,0
7071,0,0
4416,1,0
2385,0,0
2810,1,0
6281,0,0
8758,0,0
8308,1,0
5366,0,0
5776,0,0
8551,0,0
5185,0,0
2018,1,0
11488,0,0
1571,0,0
6905,0,0
6640,0,0
6188,0,0
9941,0,0
11007,1,0
7054,1,0
738,0,0
9081,1,0
8260,0,0
3146,0,0
7801,1,0
9822,0,0
11392,0,0
794,0,0
9922,0,0
9438,0,0
4962,0,0
7740,0,0
9570,0,0
385,0,0
2166,0,0
7099,0,0
4617,0,0
10417,0,0
6150,0,0
5353,0,0
6721,0,0
2315,0,0
1069,0,0
5191,0,0
7696,0,0
9951,0,0
3609,0,0
11770,0,0
3712,0,0
10584,0,0
8685,0,0
335,0,0
7144,0,0
7152,0,0
3401,0,0
3416,0,0
5356,0,0
5705,0,0
138,0,0
10960,0,0
2954,0,0
7486,0,0
7437,0,0
666,0,0
9406,0,0
328,0,0
7924,0,0
9052,0,0
2874,1,0
2157,1,0
1296,0,0
7119,1,0
4747,0,0
3074,0,0
9140,0,0
9262,0,0
8715,0,0
9932,0,0
6417,0,0
587,0,0
5864,0,0
2065,0,0
5311,0,0
5769,1,0
634,0,0
7591,0,0
3009,0,0
4764,0,0
2209,0,0
277,0,0
6282,0,0
1650,1,0
7499,0,0
2880,0,0
7592,0,0
10023,0,0
8919,0,0
3929,1,0
8530,0,0
5021,0,0
11187,0,0
5905,0,0
3733,0,0
1058,0,0
10969,0,0
11206,0,0
10630,0,0
5961,0,0
87,0,0
